"","temp","degree_centralization","betweenness_centralization","closeness_centralization","eigenvector_centralization","global_clustcoeff","assortativity","diameter","avg_degree","modularity","density","avg_path_length","vertices","edges"
"34","T4-nw",0.339680352714246,0.136343332506202,0.100006845056455,0.77853866930503,0.410122237993348,-0.182888860232795,12,14.4607329842932,0.17387388898997,0.0761091209699642,2.40217268940673,191,1381
"35","T40-nw",0.360059424977136,0.149643230111285,0.00232562596394717,0.934984243248565,0.228307310306688,-0.196906984988805,14,27.2946465059256,0.253271129948749,0.0111588906401985,2.72253364943014,2447,33395
"36","T41-nw",0.375234961879067,0.164018102034636,0.00232853334401513,0.936058111700326,0.227206970337434,-0.197064737087168,15,27.6630652260904,0.258772591567002,0.0110740853587232,2.71085004647861,2499,34565
"37","T42-nw",0.391509543304394,0.178906057945197,0.00241724694135517,0.937365662018378,0.225522285172435,-0.196695201515546,15,28.0799069045772,0.246690853012363,0.0108963550269993,2.70290905125692,2578,36195
"38","T43-nw",0.410447578821593,0.194498358459597,0.00208173849645442,0.93822996064987,0.224277503988609,-0.195417442261873,15,28.6497346474602,0.246960519362335,0.0108645182584225,2.68522116191371,2638,37789
"39","T44-nw",0.423180491635342,0.204280568572168,0.00231567714602776,0.93893200573903,0.22341098956508,-0.194467619939735,15,29.0676579925651,0.23290996396555,0.0108098393427166,2.67683001020182,2690,39096
"40","T45-nw",0.432682826813056,0.209825151395141,0.00222091051408338,0.939434191806946,0.223370626780541,-0.194742069656142,16,29.5549090909091,0.215287367700782,0.0107511491782136,2.66908542728844,2750,40638
"41","T46-nw",0.440765104116242,0.21763955744752,0.00230067755495885,0.940256283925111,0.222134970001309,-0.194147525949859,20,29.8054668086617,0.206401605414547,0.0105843277019395,2.66694220896405,2817,41981
"42","T47-nw",0.451850690425722,0.225394930743656,0.00198032904187999,0.941112168542438,0.219926369669226,-0.194149321258564,17,30.1515046696645,0.208452138161458,0.0104330465984998,2.65833099620266,2891,43584
"43","T48-nw",0.466352066604371,0.235500200188176,0.0022831305244687,0.942063537087697,0.216999243661245,-0.194297720197958,16,30.5353059852051,0.222857743250694,0.0102708731870855,2.64966712041276,2974,45406
"44","T49-nw",0.474045458075506,0.241049291932727,0.00202800913344061,0.943024071694287,0.21512920909074,-0.192780450025199,16,30.8430346631785,0.212465125353386,0.0100893145774218,2.64561827787863,3058,47159
"45","T5-nw",0.355393411845025,0.125070603502601,0.177707745269787,0.791416466290501,0.406676924511587,-0.231048749783223,10,15.2350230414747,0.122135814953033,0.0705325140809012,2.39457364341085,217,1653
"46","T50-nw",0.48075608812365,0.248195292810484,0.00226864990092051,0.943342761350952,0.214198875153963,-0.192439535799597,16,31.1753707285622,0.215244066504518,0.0100533281936673,2.64029575034236,3102,48353
"47","T6-nw",0.360756931795183,0.133220677902765,0.178036187493847,0.794349609763703,0.403453417010506,-0.243311679491138,8,16.3360655737705,0.152431780171896,0.067226607299467,2.3739414345475,244,1993
